,6
stock_code,BVH
date,2021-08-30
open_price,53.6
highest_price,55.0
lowest_price,53.6
close_price,55.0
CDLUNIQUE3RIVER,0
CDLHAMMER,0
CDLTHRUSTING,0
CDLLONGLEGGEDDOJI,0
CDLIDENTICAL3CROWS,0
CDLDOJISTAR,0
CDLHIKKAKE,0
CDLGRAVESTONEDOJI,0
CDLMATCHINGLOW,0
CDLONNECK,0
CDLSEPARATINGLINES,0
CDLGAPSIDESIDEWHITE,0
CDLMARUBOZU,0
CDLDOJI,0
CDLHARAMI,0
CDLMORNINGSTAR,0
CDL3OUTSIDE,100
CDLCLOSINGMARUBOZU,0
CDLINVERTEDHAMMER,0
CDLSPINNINGTOP,0
CDLHANGINGMAN,0
CDL3STARSINSOUTH,0
CDL3BLACKCROWS,0
CDLBELTHOLD,0
CDL2CROWS,0
CDLTASUKIGAP,0
CDLINNECK,0
CDLDRAGONFLYDOJI,0
CDLABANDONEDBABY,0
CDLRISEFALL3METHODS,0
CDLEVENINGDOJISTAR,0
CDLRICKSHAWMAN,0
CDLCONCEALBABYSWALL,0
CDLHARAMICROSS,0
CDLHIKKAKEMOD,0
CDLMORNINGDOJISTAR,0
CDLADVANCEBLOCK,0
CDLBREAKAWAY,0
CDLMATHOLD,0
CDLXSIDEGAP3METHODS,0
CDLSTICKSANDWICH,0
CDL3INSIDE,0
CDLLADDERBOTTOM,0
CDLTRISTAR,0
CDLTAKURI,0
CDL3WHITESOLDIERS,0
CDLDARKCLOUDCOVER,0
CDL3LINESTRIKE,0
CDLSHOOTINGSTAR,0
CDLHIGHWAVE,0
CDLUPSIDEGAP2CROWS,0
CDLKICKING,0
CDLHOMINGPIGEON,0
CDLPIERCING,0
CDLEVENINGSTAR,0
CDLENGULFING,0
action,bull
